matchNum,allianceStationID,team,teamMatchNum,preNoShow,preStartPosID,autoFuelTotal,autoNZtotal,autoLinePen,autoClimbTypeID,autoClimbLocID,teleFuelTotal,teleNZtotal,nzShuttle,oppShuttle,oppPickup,climbTypeID,climbLocID,climbTime,postSubBroke,postBreakDown,postBeach,postDef,postWasDef,BATechFoul,BAFoul,RP1,RP2,RP3,nzPlow,alliancePickup
10,2,9710,2,0.0,3.0,0,1,0,,,0,1,0,0,0,5.0,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2,0
10,3,195,2,0.0,5.0,25,5,0,,,300,4,2,0,1,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,4
10,4,1740,2,0.0,2.0,0,1,0,,,0,2,0,0,0,5.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
10,5,3654,2,0.0,3.0,4,1,0,,,22,2,0,0,0,5.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
10,6,7153,2,0.0,4.0,0,1,0,1.0,1.0,27,5,1,0,0,1.0,1.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
11,1,155,2,0.0,2.0,9,1,0,,,60,4,1,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,5
11,2,10592,2,0.0,3.0,4,1,0,,,0,0,0,0,0,5.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,2
11,3,839,2,0.0,5.0,0,1,0,,,69,3,3,0,0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,2
11,4,6346,2,0.0,2.0,5,3,0,,,37,2,0,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,2
11,5,2067,2,0.0,4.0,17,3,0,,,115,3,0,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1
11,6,3146,2,0.0,3.0,10,1,0,,,17,4,2,0,0,1.0,4.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0
12,1,429,2,0.0,2.0,3,1,0,,,25,3,0,0,0,4.0,4.0,15.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1
12,2,8709,2,0.0,3.0,8,1,0,,,11,3,1,0,0,5.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,3
12,3,178,2,0.0,5.0,0,1,0,,,44,2,0,0,0,5.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2
12,4,2370,2,0.0,5.0,12,3,0,,,0,1,0,0,0,5.0,,,1.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0,0
12,5,7694,2,0.0,3.0,6,1,0,,,17,2,1,0,0,5.0,,,1.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0,1
12,6,1100,2,0.0,1.0,0,0,0,,,25,5,0,1,0,5.0,,,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,2,1
13,1,237,2,0.0,5.0,4,2,0,,,22,4,1,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7
13,2,7127,2,0.0,3.0,2,1,0,,,22,6,0,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
13,3,5142,3,0.0,2.0,0,1,0,,,3,2,1,0,0,5.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
13,4,6895,2,0.0,2.0,0,1,0,,,0,2,0,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0
13,5,8567,3,0.0,3.0,0,1,0,,,11,1,0,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
13,6,10945,2,0.0,3.0,0,1,0,,,1,4,0,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
14,1,236,3,0.0,1.0,13,2,0,,,79,4,0,0,0,5.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,4
14,2,195,3,0.0,5.0,22,5,0,,,300,7,1,0,0,5.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,3
14,3,181,3,0.0,3.0,0,1,0,,,0,0,0,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
14,4,3461,3,0.0,2.0,0,1,0,,,0,1,0,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
14,5,4176,3,0.0,1.0,0,2,0,,,64,2,0,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,2
14,6,230,3,0.0,5.0,15,3,0,,,78,3,0,0,1,5.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2,3
15,1,3654,3,0.0,2.0,3,1,0,,,4,4,1,0,0,5.0,,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1
15,2,3146,3,0.0,3.0,8,1,0,,,45,4,1,0,0,5.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2
15,3,10592,3,0.0,4.0,0,1,0,,,17,2,2,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1
15,4,839,3,0.0,5.0,0,1,0,,,2,1,0,0,0,4.0,5.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2,0
15,5,1027,3,0.0,2.0,0,1,0,,,4,0,0,0,0,5.0,,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1
15,6,7153,3,0.0,3.0,0,1,0,1.0,1.0,17,3,0,0,0,5.0,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,1
16,1,6346,3,0.0,2.0,0,3,0,,,13,2,0,0,0,5.0,,,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0,4
16,2,2170,3,0.0,1.0,3,1,0,,,21,3,0,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7,1
16,3,1991,3,0.0,5.0,0,1,0,,,0,0,0,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0
16,4,4034,3,0.0,3.0,1,1,0,,,1,2,0,0,0,1.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,0
16,5,2370,3,0.0,5.0,27,1,0,,,143,3,6,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,5
16,6,9710,3,0.0,2.0,0,1,0,,,0,2,0,0,0,5.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0
17,1,7694,3,0.0,4.0,3,1,0,,,75,2,0,0,0,5.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,2
17,2,176,3,0.0,1.0,10,3,0,,,43,3,4,0,0,5.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,6
17,3,10945,3,0.0,3.0,7,1,0,,,10,2,1,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2
17,4,8709,3,0.0,3.0,10,1,0,,,39,5,0,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1
17,5,571,3,0.0,5.0,0,3,0,,,135,4,0,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2
17,6,6895,3,0.0,2.0,0,1,0,,,0,1,0,0,0,5.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
18,1,429,3,0.0,3.0,5,0,0,,,20,3,0,0,0,2.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
