matchNum,allianceStationID,team,teamMatchNum,scoutingStatusID,preNoShow,preStartPosID,autoLeave,autoL4,autoL3,autoL2,autoL1,autoMissL4,autoMissL3,autoMissL2,autoMissL1,autoAlgaeRmv,autoProcessor,autoBarge,autoMarkCoral,autoMarkAlgae,autoMarkMiss,autoCoralStation1,autoCoralStation2,autoMissProcessor,autoMissBarge,teleL4,teleL3,teleL2,teleL1,teleMissL4,teleMissL3,teleMissL2,teleMissL1,teleAlgaeRmv,teleProcessor,teleBarge,teleMissProcessor,teleMissBarge,teleOppProcessor,teleOppCoral,teleOppAlgae,teleCoralStation1,teleCoralStation2,teleCoralGround,climbStatusID,climbTime,postOppCage,postSubBroke,postBreakDown,postDefense,postWasDefended,postGroundPick,postStationPick,postShotAlgae
8,4,2170,2,1.0,0.0,5.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,5.0,30.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
8,5,10245,2,1.0,0.0,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
8,6,3461,2,1.0,0.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
9,1,2168,2,1.0,0.0,4.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
9,2,6333,2,1.0,0.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
9,3,9193,2,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9,4,5856,2,1.0,0.0,4.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,5,7127,2,1.0,0.0,2.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9,6,7694,2,1.0,0.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,5.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10,1,9710,2,1.0,0.0,3.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,6.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
10,2,3654,2,1.0,0.0,2.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,5,3,0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
10,3,155,2,1.0,0.0,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
10,4,4987,2,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,5,181,2,1.0,0.0,4.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,2,0,0,0,0,0,0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,6,558,2,1.0,0.0,3.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11,1,7869,2,1.0,0.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11,2,5746,2,1.0,0.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,6.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
